/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 135: Train RMSE 0.0878, Test RMSE 0.0993
Epoch 136: Train RMSE 0.0877, Test RMSE 0.0984
Epoch 137: Train RMSE 0.0894, Test RMSE 0.1002
Epoch 138: Train RMSE 0.0893, Test RMSE 0.1002
Epoch 139: Train RMSE 0.0880, Test RMSE 0.0995
Epoch 140: Train RMSE 0.0889, Test RMSE 0.0992
Epoch 141: Train RMSE 0.0882, Test RMSE 0.0998
Epoch 142: Train RMSE 0.0889, Test RMSE 0.1007
Epoch 143: Train RMSE 0.0865, Test RMSE 0.0983
Epoch 144: Train RMSE 0.0856, Test RMSE 0.0966
Epoch 145: Train RMSE 0.0894, Test RMSE 0.1003
Epoch 146: Train RMSE 0.0864, Test RMSE 0.0976
Epoch 147: Train RMSE 0.0881, Test RMSE 0.0999
Epoch 148: Train RMSE 0.0887, Test RMSE 0.0994
Epoch 149: Train RMSE 0.0895, Test RMSE 0.1005
Epoch 150: Train RMSE 0.0873, Test RMSE 0.0990
Epoch 151: Train RMSE 0.0875, Test RMSE 0.0990
Epoch 152: Train RMSE 0.0888, Test RMSE 0.1004
Epoch 153: Train RMSE 0.0855, Test RMSE 0.0973
Epoch 154: Train RMSE 0.0886, Test RMSE 0.0997
Epoch 155: Train RMSE 0.0870, Test RMSE 0.0983
Epoch 156: Train RMSE 0.0875, Test RMSE 0.0981
Epoch 157: Train RMSE 0.0890, Test RMSE 0.1003
Epoch 158: Train RMSE 0.0890, Test RMSE 0.1002
Epoch 159: Train RMSE 0.0863, Test RMSE 0.0982
Epoch 160: Train RMSE 0.0874, Test RMSE 0.0982
Epoch 161: Train RMSE 0.0879, Test RMSE 0.0993
Epoch 162: Train RMSE 0.0874, Test RMSE 0.0985
Epoch 163: Train RMSE 0.0878, Test RMSE 0.0995
Epoch 164: Train RMSE 0.0879, Test RMSE 0.0995
Epoch 165: Train RMSE 0.0907, Test RMSE 0.1013
Epoch 166: Train RMSE 0.0889, Test RMSE 0.1003
Epoch 167: Train RMSE 0.0883, Test RMSE 0.0997
Epoch 168: Train RMSE 0.0897, Test RMSE 0.1014
Epoch 169: Train RMSE 0.0887, Test RMSE 0.1000
Epoch 170: Train RMSE 0.0880, Test RMSE 0.0990
Epoch 171: Train RMSE 0.0883, Test RMSE 0.0998
Epoch 172: Train RMSE 0.0897, Test RMSE 0.1008
Epoch 173: Train RMSE 0.0873, Test RMSE 0.0993
Epoch 174: Train RMSE 0.0885, Test RMSE 0.0999
Epoch 175: Train RMSE 0.0883, Test RMSE 0.1002
Epoch 176: Train RMSE 0.0895, Test RMSE 0.1011
Epoch 177: Train RMSE 0.0888, Test RMSE 0.1000
