nohup: ignoring input
/home/gsm0197/sralab_working/lstm_FullData/trial3/lstm.py:147: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial3/lstm.py:149: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
Epoch 124: Train RMSE 0.0422, Validation RMSE 0.1180
Epoch 125: Train RMSE 0.0415, Validation RMSE 0.1193
Epoch 126: Train RMSE 0.0421, Validation RMSE 0.1160
Epoch 127: Train RMSE 0.0414, Validation RMSE 0.1172
Epoch 128: Train RMSE 0.0425, Validation RMSE 0.1167
Epoch 129: Train RMSE 0.0436, Validation RMSE 0.1179
Epoch 130: Train RMSE 0.0412, Validation RMSE 0.1156
Epoch 131: Train RMSE 0.0406, Validation RMSE 0.1154
Epoch 132: Train RMSE 0.0424, Validation RMSE 0.1189
Epoch 133: Train RMSE 0.0416, Validation RMSE 0.1152
Epoch 134: Train RMSE 0.0413, Validation RMSE 0.1171
Epoch 135: Train RMSE 0.0427, Validation RMSE 0.1142
Epoch 136: Train RMSE 0.0416, Validation RMSE 0.1181
Epoch 137: Train RMSE 0.0441, Validation RMSE 0.1221
Epoch 138: Train RMSE 0.0429, Validation RMSE 0.1163
Epoch 139: Train RMSE 0.0415, Validation RMSE 0.1156
Epoch 140: Train RMSE 0.0412, Validation RMSE 0.1174
Epoch 141: Train RMSE 0.0416, Validation RMSE 0.1196
Epoch 142: Train RMSE 0.0409, Validation RMSE 0.1169
Epoch 143: Train RMSE 0.0414, Validation RMSE 0.1148
Epoch 144: Train RMSE 0.0418, Validation RMSE 0.1188
Epoch 145: Train RMSE 0.0421, Validation RMSE 0.1176
Epoch 146: Train RMSE 0.0417, Validation RMSE 0.1130
Epoch 147: Train RMSE 0.0410, Validation RMSE 0.1160
Epoch 148: Train RMSE 0.0418, Validation RMSE 0.1120
Epoch 149: Train RMSE 0.0417, Validation RMSE 0.1183
Traceback (most recent call last):
  File "/home/gsm0197/sralab_working/lstm_FullData/trial3/lstm.py", line 192, in <module>
    valid_pred[lookback:valid_size] = valid_predictions
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
ValueError: could not broadcast input array from shape (593324,) into shape (148331,)
