nohup: ignoring input
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 4])
Epoch 158: Train RMSE 0.0363, Test RMSE 0.0657
Epoch 159: Train RMSE 0.0363, Test RMSE 0.0672
Epoch 160: Train RMSE 0.0366, Test RMSE 0.0666
Epoch 161: Train RMSE 0.0363, Test RMSE 0.0666
Epoch 162: Train RMSE 0.0362, Test RMSE 0.0658
Epoch 163: Train RMSE 0.0361, Test RMSE 0.0665
Epoch 164: Train RMSE 0.0361, Test RMSE 0.0663
Epoch 165: Train RMSE 0.0363, Test RMSE 0.0675
Epoch 166: Train RMSE 0.0360, Test RMSE 0.0657
Epoch 167: Train RMSE 0.0361, Test RMSE 0.0662
Epoch 168: Train RMSE 0.0362, Test RMSE 0.0667
Epoch 169: Train RMSE 0.0363, Test RMSE 0.0683
Epoch 170: Train RMSE 0.0360, Test RMSE 0.0664
Epoch 171: Train RMSE 0.0361, Test RMSE 0.0681
Epoch 172: Train RMSE 0.0361, Test RMSE 0.0660
Epoch 173: Train RMSE 0.0362, Test RMSE 0.0657
Epoch 174: Train RMSE 0.0362, Test RMSE 0.0664
Epoch 175: Train RMSE 0.0367, Test RMSE 0.0678
Epoch 176: Train RMSE 0.0361, Test RMSE 0.0661
Epoch 177: Train RMSE 0.0359, Test RMSE 0.0671
Epoch 178: Train RMSE 0.0361, Test RMSE 0.0659
Epoch 179: Train RMSE 0.0366, Test RMSE 0.0655
Epoch 180: Train RMSE 0.0361, Test RMSE 0.0665
Epoch 181: Train RMSE 0.0360, Test RMSE 0.0665
Epoch 182: Train RMSE 0.0362, Test RMSE 0.0654
Epoch 183: Train RMSE 0.0360, Test RMSE 0.0672
Epoch 184: Train RMSE 0.0363, Test RMSE 0.0659
Epoch 185: Train RMSE 0.0365, Test RMSE 0.0675
Epoch 186: Train RMSE 0.0361, Test RMSE 0.0674
Epoch 187: Train RMSE 0.0358, Test RMSE 0.0662
Epoch 188: Train RMSE 0.0362, Test RMSE 0.0675
Epoch 189: Train RMSE 0.0360, Test RMSE 0.0657
Epoch 190: Train RMSE 0.0360, Test RMSE 0.0675
Epoch 191: Train RMSE 0.0360, Test RMSE 0.0676
Epoch 192: Train RMSE 0.0360, Test RMSE 0.0665
Epoch 193: Train RMSE 0.0358, Test RMSE 0.0669
Epoch 194: Train RMSE 0.0360, Test RMSE 0.0675
Epoch 195: Train RMSE 0.0362, Test RMSE 0.0678
Epoch 196: Train RMSE 0.0360, Test RMSE 0.0662
Epoch 197: Train RMSE 0.0363, Test RMSE 0.0666
Epoch 198: Train RMSE 0.0358, Test RMSE 0.0674
Epoch 199: Train RMSE 0.0357, Test RMSE 0.0676
Traceback (most recent call last):
  File "/home/gsm0197/sralab_working/lstm_4to4/trial2/lstm.py", line 165, in <module>
    test_pred[lookback:test_size] = test_predictions
    ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
ValueError: could not broadcast input array from shape (793136,) into shape (198284,)
