/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 164: Train RMSE 0.0360, Test RMSE 0.0694
Epoch 165: Train RMSE 0.0363, Test RMSE 0.0679
Epoch 166: Train RMSE 0.0362, Test RMSE 0.0688
Epoch 167: Train RMSE 0.0361, Test RMSE 0.0692
Epoch 168: Train RMSE 0.0363, Test RMSE 0.0696
Epoch 169: Train RMSE 0.0365, Test RMSE 0.0687
Epoch 170: Train RMSE 0.0363, Test RMSE 0.0691
Epoch 171: Train RMSE 0.0365, Test RMSE 0.0696
Epoch 172: Train RMSE 0.0364, Test RMSE 0.0687
Epoch 173: Train RMSE 0.0363, Test RMSE 0.0691
Epoch 174: Train RMSE 0.0361, Test RMSE 0.0690
Epoch 175: Train RMSE 0.0370, Test RMSE 0.0681
Epoch 176: Train RMSE 0.0368, Test RMSE 0.0678
Epoch 177: Train RMSE 0.0365, Test RMSE 0.0702
Epoch 178: Train RMSE 0.0364, Test RMSE 0.0705
Epoch 179: Train RMSE 0.0366, Test RMSE 0.0688
Epoch 180: Train RMSE 0.0365, Test RMSE 0.0703
Epoch 181: Train RMSE 0.0359, Test RMSE 0.0693
Epoch 182: Train RMSE 0.0363, Test RMSE 0.0680
Epoch 183: Train RMSE 0.0362, Test RMSE 0.0669
Epoch 184: Train RMSE 0.0360, Test RMSE 0.0693
Epoch 185: Train RMSE 0.0359, Test RMSE 0.0701
Epoch 186: Train RMSE 0.0362, Test RMSE 0.0693
Epoch 187: Train RMSE 0.0359, Test RMSE 0.0689
Epoch 188: Train RMSE 0.0363, Test RMSE 0.0684
Epoch 189: Train RMSE 0.0357, Test RMSE 0.0696
Epoch 190: Train RMSE 0.0359, Test RMSE 0.0698
Epoch 191: Train RMSE 0.0360, Test RMSE 0.0679
Epoch 192: Train RMSE 0.0360, Test RMSE 0.0708
Epoch 193: Train RMSE 0.0361, Test RMSE 0.0697
Epoch 194: Train RMSE 0.0358, Test RMSE 0.0708
Epoch 195: Train RMSE 0.0391, Test RMSE 0.0698
Epoch 196: Train RMSE 0.0360, Test RMSE 0.0694
Epoch 197: Train RMSE 0.0359, Test RMSE 0.0701
Epoch 198: Train RMSE 0.0359, Test RMSE 0.0699
Epoch 199: Train RMSE 0.0356, Test RMSE 0.0691
